lat;lon;signal
5.4379067;-4.0149767;-83.0
5.4380435;-4.0148271;-66.3
5.4380819;-4.0147467;-60.7
5.4381198;-4.0147188;-66.0
5.4381243;-4.0147201;-61.7
5.4381408;-4.0146886;-66.3
5.4381589;-4.01463;-63.3
5.438186;-4.0145542;-59.3
5.4381813;-4.0145219;-65.0
5.4381898;-4.0144894;-59.0
5.4381967;-4.0144532;-63.7
5.4381913;-4.0144173;-59.3
5.4381929;-4.0143773;-58.7
5.4381794;-4.0143538;-61.0
5.4381673;-4.014334;-61.0
5.438172;-4.0143101;-60.3
5.4381927;-4.0142782;-59.7
5.4382083;-4.0142516;-60.0
5.4382215;-4.0142143;-60.7
5.4382315;-4.0141734;-62.0
5.4382425;-4.0141301;-63.0
5.4382365;-4.0140965;-65.3
5.4382389;-4.0140661;-66.0
5.4382533;-4.0140353;-69.3
5.4382594;-4.0140105;-68.3
5.4382482;-4.0140132;-69.3
5.4382464;-4.0140143;-71.0
5.4382451;-4.0140142;-71.0
5.438245;-4.014015;-71.0
5.4381987;-4.0140086;-68.0
5.4381613;-4.0140036;-76.0
5.4381566;-4.0140067;-76.0
5.4381448;-4.0140067;-76.0
5.438114;-4.0140073;-74.7
5.4380936;-4.0140024;-70.3
5.4380647;-4.0139853;-68.0
5.4380684;-4.0139729;-62.3
5.4378154;-4.0141635;-79.7
5.4377224;-4.0143105;-81.0
5.4376873;-4.0146763;-94.7
5.4376869;-4.0147122;-97.7
5.4376674;-4.0147404;-97.3
5.4376562;-4.014766;-95.3
5.4376427;-4.0147996;-97.0
5.4376304;-4.014817;-97.0
5.4376317;-4.0148463;-96.7
5.4376352;-4.0148524;-96.7
5.4376193;-4.0148551;-96.7
5.4376456;-4.0148717;-94.0
5.4376658;-4.0148942;-95.3
5.4376658;-4.0148977;-95.3
5.437684;-4.0149075;-99.3
5.4377278;-4.0149297;-94.7
5.4377635;-4.0149431;-93.0
5.4378424;-4.0150257;-86.7
5.4378418;-4.0150747;-87.3
5.4378311;-4.0151133;-89.3
5.4378266;-4.0151379;-89.0
5.4378324;-4.0151673;-90.0
5.4378401;-4.015209;-86.7
5.4378529;-4.0152515;-87.7
5.4378566;-4.0152916;-90.0
5.4376318;-4.0152924;-93.3
5.4376341;-4.0152593;-95.0
5.4376327;-4.0152463;-97.3
5.4376416;-4.0152493;-97.0
5.4376456;-4.0152506;-95.0
5.4376454;-4.0152527;-95.0
5.4376457;-4.0152523;-95.0
5.4376852;-4.015236;-95.3
5.4377184;-4.0152331;-93.3
5.437743;-4.0152393;-92.0
5.4377649;-4.0152456;-90.7
5.4377886;-4.0152483;-88.0
5.4378222;-4.0152473;-88.0
5.4378349;-4.0152462;-87.0
5.4378407;-4.0152528;-87.3
5.4378517;-4.0152408;-87.7
5.4378647;-4.0151977;-86.0
5.4378541;-4.0151828;-87.7
5.4376565;-4.0149926;-97.0
5.4376476;-4.0149516;-95.3
5.4376715;-4.0149155;-97.7
5.4376903;-4.0149048;-96.7
5.4376939;-4.0148924;-99.3
5.4376966;-4.0148851;-99.0
5.4376852;-4.0148733;-98.7
5.437662;-4.0148343;-98.3
5.4376694;-4.014735;-96.0
5.4376691;-4.0147351;-96.0
5.4376672;-4.0147403;-97.3
5.4378673;-4.014201;-77.7
5.4379532;-4.0141467;-76.0
5.4379919;-4.0141462;-70.3
5.4380268;-4.014157;-75.7
5.4380543;-4.0141661;-77.3
5.4380952;-4.0141692;-65.7
5.4381386;-4.0141715;-65.3
5.4381681;-4.0141536;-64.0
5.4381779;-4.0141081;-62.7
5.4381858;-4.014073;-64.0
5.4381877;-4.0140388;-68.0
5.4381986;-4.0140098;-68.0
5.438217;-4.0139869;-68.0
5.4382477;-4.0139747;-67.7
5.43828;-4.0139911;-68.7
5.4382929;-4.0140277;-72.7
5.4382888;-4.0140623;-76.3
5.43829;-4.0141004;-77.3
5.4382902;-4.0141341;-76.7
5.4382922;-4.0141649;-71.7
5.4382837;-4.0142385;-72.0
5.4382797;-4.0142714;-76.3
5.4382832;-4.0143062;-75.7
5.4382832;-4.0143434;-75.7
5.4382806;-4.0143769;-76.0
5.4382781;-4.0144119;-76.0
5.4382762;-4.0144459;-75.0
5.4382695;-4.0144775;-73.3
5.4382604;-4.014514;-73.3
5.4382561;-4.0145525;-72.0
5.4382438;-4.014577;-73.3
5.4382609;-4.0146206;-73.7
5.4382591;-4.0146644;-76.0
5.4382602;-4.0147022;-74.7
5.4382675;-4.0147407;-74.7
5.4382668;-4.0147752;-74.7
5.4382595;-4.0148134;-76.3
5.4382575;-4.0148479;-76.3
5.4382586;-4.0148824;-76.7
5.438246;-4.014907;-71.0
5.4382086;-4.0148995;-64.7
5.4381751;-4.0148954;-64.7
5.4381453;-4.0148857;-65.0
5.4381192;-4.014883;-57.0
5.4381204;-4.0148771;-57.0
5.4381251;-4.0148827;-57.0
5.4381259;-4.0148977;-56.0
5.4381267;-4.0148967;-56.0
5.4381329;-4.0148707;-56.0
5.4381418;-4.0148642;-59.0
5.4381394;-4.0148296;-67.7
5.4381425;-4.0147877;-64.3
5.438112;-4.0147716;-63.7
5.4380909;-4.0147608;-56.0
5.4380858;-4.0147572;-60.7
5.4380884;-4.0147746;-56.0
5.4380746;-4.014792;-69.0
5.4380733;-4.0147933;-75.0
5.4380733;-4.0147933;-75.0
5.4380733;-4.0147933;-75.0
5.4381155;-4.0148335;-67.3
5.4381191;-4.0148375;-73.0
5.4380929;-4.0148449;-71.7
5.4380758;-4.0148734;-68.0
5.4380442;-4.0149151;-70.7
5.4380323;-4.0149395;-69.7
5.4380352;-4.0149788;-72.7
5.4380261;-4.0150108;-77.3
5.4380331;-4.0150293;-76.0
5.4380406;-4.0150551;-75.7
5.4380479;-4.0150768;-75.3
5.438045;-4.0150956;-75.0
5.4380337;-4.0151298;-71.3
5.4380031;-4.0151372;-76.7
5.4379701;-4.0151379;-79.7
5.4379498;-4.0151644;-78.0
5.43792;-4.0151677;-83.7
5.4378911;-4.01516;-84.0
5.4378655;-4.0151717;-88.7
5.4378917;-4.0151628;-84.0
5.4379229;-4.0151579;-80.0
5.4379282;-4.0151801;-77.3
5.4379089;-4.015207;-84.7
5.4379064;-4.0152236;-83.3
5.4379265;-4.0152301;-78.3
5.4379458;-4.015247;-75.0
5.4379485;-4.0152172;-75.7
5.4379404;-4.0151841;-77.3
5.4379153;-4.0151828;-81.3
5.4378934;-4.0151894;-85.0
5.4378934;-4.0152178;-84.3
5.4379019;-4.0152317;-84.3
5.43792;-4.0152415;-81.0
5.4379349;-4.0152367;-78.7
5.437935;-4.0152367;-78.7
5.437935;-4.0152367;-78.7
5.4379335;-4.0151864;-74.7
5.4379306;-4.0151479;-77.7
5.437926;-4.0151056;-82.3
5.4379151;-4.0150799;-87.0
5.4378951;-4.0150631;-83.3
5.4379297;-4.0151276;-81.3
5.4379512;-4.0151494;-78.7
5.4378905;-4.0151514;-84.3
5.4378485;-4.0151701;-88.0
5.4378474;-4.0152205;-85.3
5.4378598;-4.0151633;-88.7
5.4378855;-4.0151312;-86.3
5.4379217;-4.0151303;-83.0
5.4379639;-4.0151352;-79.7
5.4380124;-4.0151354;-76.7
5.4380572;-4.0151307;-70.3
5.4380581;-4.0151597;-73.3
5.4380531;-4.0151987;-70.3
5.4380443;-4.0152502;-73.3
5.4380586;-4.0153058;-75.0
5.4380775;-4.0153335;-71.3
5.4380976;-4.0153603;-72.3
5.4381182;-4.0153906;-70.7
5.4381356;-4.0153941;-74.7
5.4381197;-4.015386;-70.7
5.4381184;-4.015427;-74.3
5.4381256;-4.0154625;-76.7
5.438138;-4.0154887;-77.0
5.4381367;-4.0154873;-77.0
5.4381267;-4.0154982;-69.7
5.43813;-4.0155017;-69.7
5.43813;-4.0155017;-69.7
5.43813;-4.0155017;-69.7
5.43813;-4.0155017;-69.7
5.4381548;-4.0154988;-76.3
5.4381335;-4.0155021;-69.7
5.4381165;-4.0155224;-72.0
5.4381285;-4.0155488;-67.0
5.4381616;-4.0155506;-70.7
5.4381901;-4.0155596;-78.3
5.4381922;-4.0155673;-79.7
5.4381524;-4.0155593;-74.0
5.4381113;-4.0155676;-74.0
5.4380725;-4.0155862;-74.7
5.4380427;-4.015611;-73.3
5.4380069;-4.0156213;-77.0
5.4379752;-4.0156243;-74.7
5.4379745;-4.0156539;-75.0
5.4379756;-4.0156861;-74.7
5.437972;-4.0156996;-68.0
5.4379717;-4.0157;-68.0
5.4379717;-4.0157;-68.0
5.4379915;-4.0157082;-73.7
5.4380068;-4.0157201;-75.7
5.4380214;-4.0157271;-81.0
5.4380413;-4.0157235;-80.0
5.4380634;-4.0157314;-80.0
5.438083;-4.0157443;-81.0
5.4381113;-4.0157542;-82.0
5.438137;-4.0157614;-78.7
5.4381645;-4.0157871;-75.3
5.4381908;-4.0158118;-72.7
5.438201;-4.0158191;-72.7
5.4382;-4.0158217;-72.7
5.4381745;-4.0158086;-76.3
5.4381326;-4.0157852;-81.7
5.4380984;-4.0157697;-87.0
5.4379908;-4.0157212;-76.3
5.4379563;-4.015704;-75.3
5.4379353;-4.0158094;-76.0
5.437932;-4.0158225;-76.0
5.4379322;-4.0158286;-76.0
5.4379114;-4.015815;-76.7
5.4378365;-4.0153176;-91.7
5.4378378;-4.0152738;-89.7
5.4378502;-4.0152297;-87.3
5.4378483;-4.0151855;-87.7
5.4378485;-4.0151424;-89.3
5.4378428;-4.015113;-89.3
5.4378483;-4.0150777;-87.3
5.4378503;-4.0150549;-88.3
5.4378474;-4.0149821;-87.7
5.437856;-4.0149354;-94.3
5.4378425;-4.0149253;-97.7
5.4377964;-4.0149254;-98.0
5.4377494;-4.0149195;-93.0
5.4377117;-4.0149146;-97.7
5.4377038;-4.0149157;-97.0
5.4377074;-4.0148877;-99.0
5.4377065;-4.0148384;-94.7
5.4377155;-4.0148087;-96.3
5.437704;-4.014775;-97.0
5.437703;-4.0147641;-99.3
5.4376838;-4.0147388;-91.7
5.4380732;-4.0139525;-63.7
5.4380607;-4.0139117;-68.0
5.4380561;-4.0138743;-75.3
5.4380363;-4.0138793;-75.0
5.4380122;-4.0138658;-75.0
5.4379792;-4.0138618;-71.7
5.4379393;-4.0138679;-66.3
5.4379079;-4.0138649;-66.7
5.4378744;-4.0138605;-68.0
5.43784;-4.0138626;-68.0
5.4378242;-4.0138862;-68.3
5.4377871;-4.0138833;-77.3
5.4377662;-4.0138774;-69.3
5.4377335;-4.0138926;-74.3
5.4377012;-4.0138964;-83.7
5.4376917;-4.0139129;-85.0
5.4376991;-4.013949;-86.0
5.4377102;-4.0139904;-83.7
5.4377077;-4.0140403;-84.3
5.4377033;-4.0140694;-83.7
5.437705;-4.0140946;-79.7
5.4377001;-4.0141283;-68.7
5.4377124;-4.0141655;-75.7
5.4377468;-4.0141572;-74.7
5.4377655;-4.0141532;-73.0
5.437781;-4.0141624;-77.7
5.4377911;-4.0141681;-75.0
5.4378587;-4.0141689;-76.0
5.4378731;-4.0141451;-74.7
5.4378744;-4.0141143;-80.3
5.437878;-4.0140811;-66.0
5.4378702;-4.0140457;-66.0
5.4378688;-4.0140107;-63.3
5.4378593;-4.0139787;-70.7
5.4378548;-4.0139475;-76.0
5.4378671;-4.0139245;-62.7
5.4378677;-4.0139033;-61.7
5.4378894;-4.0138816;-66.3
5.4379159;-4.0141805;-75.0
5.4379143;-4.0141917;-74.0
5.4378911;-4.0142105;-77.0
5.4378738;-4.0142299;-81.7
5.4378539;-4.0142442;-80.0
5.4378431;-4.0142833;-87.3
5.4378436;-4.0143201;-90.7
5.437839;-4.0143456;-90.3
5.4378292;-4.0143581;-90.3
5.4378278;-4.0143804;-91.3
5.4378328;-4.0144405;-93.7
5.4378238;-4.0144737;-93.0
5.4378237;-4.0145184;-92.3
5.4378279;-4.0145556;-96.7
5.4378255;-4.0145997;-101.7
5.4378148;-4.0146279;-98.7
5.437829;-4.0146671;-99.3
5.4378454;-4.0147099;-99.0
5.4378372;-4.0147261;-99.0
5.4378426;-4.0147304;-99.0
5.4378093;-4.0147328;-98.0
5.437752;-4.0146783;-98.3
5.4377105;-4.0146326;-96.0
5.4376791;-4.0141719;-70.0
5.4376828;-4.0141505;-71.0
5.4376832;-4.0141195;-82.0
5.4376743;-4.0140861;-84.0
5.437681;-4.0140439;-80.3
5.4376952;-4.0140099;-81.0
5.4377174;-4.0139696;-80.3
5.4377188;-4.0139042;-80.3
5.4377167;-4.0138759;-74.7
5.4377167;-4.0138458;-70.0
5.4377212;-4.0138068;-70.7
5.4377077;-4.0137604;-70.3
5.4377154;-4.013706;-66.7
5.4377218;-4.0136601;-64.0
5.43771;-4.0136329;-66.3
5.4377061;-4.0136282;-66.3
5.4377158;-4.013627;-66.0
5.4377205;-4.0136233;-66.0
5.4377165;-4.0136551;-62.3
5.4377127;-4.013683;-67.0
5.4377335;-4.0137086;-67.0
5.4377572;-4.0137377;-66.0
5.4377751;-4.0137841;-74.0
5.4377637;-4.0138208;-72.7
5.4377681;-4.0138529;-67.3
5.4377666;-4.0138918;-75.0
5.4377627;-4.0139303;-84.7
5.4377611;-4.0139768;-83.0
5.4377548;-4.0140045;-79.7
5.4377522;-4.0140189;-81.3
5.4377329;-4.0140437;-82.0
5.4377296;-4.0141056;-72.3
5.4377399;-4.0141629;-74.7
5.4377377;-4.0142012;-77.3
5.437725;-4.0142301;-77.0
5.437718;-4.0142678;-81.7
5.437721;-4.0143517;-83.0
5.4377027;-4.0143845;-85.7
5.437678;-4.0146675;-94.7
5.4376585;-4.0148208;-99.3
5.4376546;-4.0148079;-99.0
5.4376463;-4.0147649;-95.3
5.4376678;-4.01474;-97.3
5.4377108;-4.0147433;-98.0
5.4377539;-4.014715;-99.0
5.437796;-4.0146698;-98.3
5.4378279;-4.0146332;-100.0
5.4378365;-4.0146065;-98.7
5.4378403;-4.0145912;-101.0
5.4378397;-4.0145651;-91.3
5.437853;-4.0145454;-94.3
5.4378681;-4.0145315;-97.7
5.4378692;-4.0145032;-99.0
5.4378583;-4.0144726;-97.3
5.4378575;-4.0144379;-97.3
5.4378552;-4.0143863;-93.3
5.4378531;-4.0143356;-92.0
5.437865;-4.0142987;-90.0
5.4378699;-4.0142494;-82.7
5.43789;-4.0141799;-76.0
5.437903;-4.0141605;-74.3
5.4379228;-4.0141528;-73.3
5.4376767;-4.0147087;-97.7
5.4376628;-4.0146695;-97.0
5.4376608;-4.0146258;-94.0
5.4376664;-4.0145734;-95.3
5.4376706;-4.0145272;-92.7
5.4376729;-4.0144802;-89.0
